Country,GDP (Million USD)
United States,26854.599
China,19373.586
Japan,4409.738
Germany,4308.854
India,3736.882
United Kingdom,3158.938
France,2923.489
Italy,2169.745
Canada,2089.672
Brazil,2081.235
